价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2150,8,81391-C,3室1卫,1/6层,丰台区,角门东,西马小区,地铁：距10号线角门东站600米
3140,18,115378-A,2室1卫,3/6层,朝阳区,传媒大学,定福庄西街,地铁：距八通线传媒大学站350米
2590,9,118370-B,3室1卫,10/10层,海淀区,田村,椿楸嘉园,地铁：距6号线海淀五路居站2100米
2630,11,120851-B,3室1卫,18/21层,朝阳区,南楼梓庄,世纪东方嘉园南区,地铁：距7号线南楼梓庄站600米
2290,9,122317-A,2室1卫,4/21层,大兴区,亦庄桥,中信新城,地铁：距亦庄线亦庄桥站2200米
2010,9,119931-A,4室1卫,5/6层,大兴区,亦庄桥,贵园南里甲区,地铁：距亦庄线亦庄桥站800米
2010,8,123629-C,3室1卫,1/6层,大兴区,旧宫,清逸西园,地铁：距亦庄线旧宫站1550米
1460,9,123986-C,3室1卫,1/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
2420,19,130508-A,3室1卫,1/5层,通州区,果园,怡乐园二区,地铁：距八通线果园站1100米
4220,62,137583-A,2室1卫,5/6层,通州区,梨园,玉桥南里,地铁：距八通线梨园站1350米
2020,9,141778-B,2室1卫,2/6层,通州区,梨园,葛布店东里,地铁：距八通线梨园站700米
2480,11,140816-C,3室1卫,5/6层,昌平区,龙泽,北京人家,地铁：距13号线龙泽站1500米
1730,11,144235-B,3室1卫,5/9层,通州区,梨园,格兰晴天,地铁：距八通线梨园站750米
2480,18,143193-D,4室1卫,9/25层,昌平区,昌平,新悦家园,地铁：距昌平线昌平站1200米
3290,18,145956-C,3室1卫,4/6层,石景山区,八宝山,鲁谷村,地铁：距1号线八宝山站750米
8720,83,150815-A,2室1卫,12/18层,朝阳区,百子湾,金泰先锋,地铁：距7号线百子湾站350米
1790,9,150886-A,3室1卫,4/6层,通州区,梨园,玉桥南里,地铁：距八通线梨园站1350米
1420,8,152481-B,3室1卫,4/6层,大兴区,黄村火车站,海子角南里,地铁：距4号线大兴线黄村火车站站1200米
2320,8,154498-B,2室1卫,5/6层,丰台区,北京南站,洋桥西里,"地铁：距4号线大兴线,14号线东段北京南站站700米"
2640,12,154570-B,3室1卫,3/6层,昌平区,育知路,流星花园三区,地铁：距8号线育知路站850米
2750,12,154367-A,2室1卫,3/5层,石景山区,八宝山,永乐东区,地铁：距1号线八宝山站700米
1670,12,158943-B,3室1卫,3/5层,大兴区,黄村火车站,义和庄东里,地铁：距4号线大兴线黄村火车站站750米
3280,15,14605-A,3室1卫,12/22层,朝阳区,立水桥,北京北,"地铁：距13号线,5号线立水桥站500米"
2390,11,13338-A,3室1卫,20/24层,朝阳区,高碑店,兴隆家园,地铁：距八通线高碑店站600米
2500,12,19926-C,3室1卫,1/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
1580,20,24324-B,4室1卫,5/6层,房山区,阎村,绿城百合公寓栖霞苑,地铁：距燕房线阎村站950米
1940,9,24548-A,3室1卫,18/29层,大兴区,生物医药基地,鑫苑鑫都汇,地铁：距4号线大兴线生物医药基地站300米
2910,15,2610-A,3室1卫,1/9层,朝阳区,星火,姚家园西里1号院,"地铁：距3号线,20号线星火站600米"
2570,12,2644-A,4室1卫,2/9层,丰台区,石榴庄,石榴园北里,地铁：距10号线石榴庄站250米
1640,10,27995-A,4室1卫,6/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
1950,9,27762-C,3室1卫,9/11层,顺义区,国展,翠竹新村,地铁：距15号线国展站1800米
,,,,,,,,
2210,9,33737-A,5室1卫,6/6层,昌平区,天通苑南,天通苑本四区,地铁：距5号线天通苑南站1100米
2140,14,39093-B,3室1卫,6/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米
2630,15,2606-B,3室1卫,4/6层,朝阳区,黄渠,常营民族家园三期,地铁：距6号线黄渠站200米
3830,21,39984-B,2室1卫,6/6层,朝阳区,奥体中心,安翔南里,地铁：距8号线奥体中心站1050米
,,,,,,,,
2590,10,4052-A,3室1卫,3/9层,朝阳区,立水桥南,溪城家园,地铁：距5号线立水桥南站1100米
1810,18,43884-C,3室1卫,4/6层,昌平区,昌平东关,管厂宿舍,地铁：距昌平线昌平东关站300米
,,,,,,,,
,,,,,,,,
2690,14,49211-D,4室1卫,1/5层,丰台区,北京南站,洋桥西里,"地铁：距4号线大兴线,14号线东段北京南站站700米"
1790,7,49874-A,4室1卫,2/21层,朝阳区,平房村,金隅景和园(朝新嘉园东里7区),地铁：距6号线褡裢坡站3150米
2770,12,50340-B,3室1卫,9/27层,丰台区,丰台站,三环新城7号院,"地铁：距10号线,16号线丰台站站450米"
3210,14,50619-B,3室1卫,14/20层,丰台区,首经贸,万年花城三期玫瑰碗,"地铁：距10号线,房山线首经贸站550米"
2480,9,52482-B,2室1卫,3/6层,丰台区,蒲黄榆,蒲安里,"地铁：距5号线,14号线东段蒲黄榆站400米"
1340,10,57473-D,4室1卫,4/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米
1500,11,57617-B,4室1卫,3/6层,房山区,广阳城,碧波园,地铁：距房山线广阳城站500米
3150,18,5726-C,3室1卫,4/6层,朝阳区,东风北桥,南十里居,"地铁：距14号线东段,平谷线东风北桥站700米"
1610,12,61926-B,3室1卫,6/11层,房山区,稻田,高四回迁楼,地铁：距房山线稻田站800米
1690,7,64156-A,2室1卫,3/6层,通州区,九棵树,葛布店北里,地铁：距八通线九棵树站300米
1500,9,66400-C,4室1卫,3/6层,通州区,土桥,欣桥家园,地铁：距八通线土桥站1150米
5010,47,68615-A,1室1卫,11/18层,东城区,陶然桥,马家堡路23号院,地铁：距14号线东段陶然桥站400米
2750,9,6878-B,4室1卫,25/27层,朝阳区,十里堡,晨光家园,地铁：距6号线十里堡站550米
2650,8,70843-B,4室1卫,6/24层,朝阳区,东风北桥,梵谷水郡,"地铁：距14号线东段,平谷线东风北桥站1800米"
3750,9,71235-B,3室1卫,5/18层,朝阳区,金台夕照,关东店南街,地铁：距10号线金台夕照站300米
3430,18,70292-A,3室1卫,4/22层,西城区,菜市口,凌云居,"地铁：距4号线大兴线,7号线菜市口站600米"
2500,11,76592-C,4室1卫,5/6层,西城区,达官营,马连道欣园,"地铁：距7号线,16号线达官营站1800米"
1800,14,80740-B,3室1卫,4/6层,通州区,北运河西,乔庄西区,地铁：距6号线北运河西站1000米
