价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
1110,7,32303-A,5室1卫,3/19层,房山区,广阳城,北京城建国誉府,地铁：距房山线广阳城站1200米
3280,23,3290-D,4室1卫,4/18层,朝阳区,北工大西门,双龙南里,地铁：距14号线东段北工大西门站450米
1860,15,33166-C,4室1卫,2/8层,房山区,良乡大学城北,金地朗悦悦园,地铁：距房山线良乡大学城北站950米
1690,9,27838-D,4室1卫,2/15层,朝阳区,东坝中街,金驹家园,地铁：距6号线褡裢坡站4200米
1320,8,39386-A,6室2卫,6/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
2740,14,39487-B,4室1卫,14/15层,大兴区,万源街,鹿鸣苑,地铁：距亦庄线万源街站550米
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2240,15,50842-D,5室1卫,4/6层,大兴区,枣园,那尔水晶城,地铁：距4号线大兴线枣园站650米
3240,21,52034-A,2室1卫,5/16层,石景山区,古城,古城南里,地铁：距1号线古城站100米
1960,6,5302-B,3室1卫,20/23层,朝阳区,双桥,金隅康惠园,地铁：距八通线双桥站600米
,,,,,,,,
1880,10,57791-C,3室1卫,1/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
1900,8,58465-A,2室1卫,3/7层,通州区,梨园,公庄小区,地铁：距八通线梨园站1200米
3980,19,59349-A,2室1卫,14/14层,朝阳区,金台路,延静西里,"地铁：距6号线,14号线东段金台路站450米"
2840,11,69671-C,3室1卫,2/27层,朝阳区,常营,北辰福第中区,地铁：距6号线常营站450米
1530,8,61593-B,4室1卫,11/15层,房山区,长阳,馨然嘉园三区,地铁：距房山线长阳站1000米
2830,17,70170-B,3室1卫,4/6层,石景山区,八角游乐园,老山西里,地铁：距1号线八角游乐园站500米
,,,,,,,,
2700,8,80776-B,3室1卫,4/22层,朝阳区,东风北桥,驼房营南里,"地铁：距14号线东段,平谷线东风北桥站1450米"
3110,11,9386-B,3室1卫,8/25层,朝阳区,阜通,方舟苑,地铁：距14号线东段阜通站1500米
3700,17,9386-C,3室1卫,8/25层,朝阳区,阜通,方舟苑,地铁：距14号线东段阜通站1500米
,,,,,,,,
1340,11,119110-C,3室1卫,3/10层,房山区,良乡大学城,东羊庄新村,地铁：距房山线良乡大学城站1200米
3620,16,121336-A,2室1卫,12/25层,丰台区,蒲黄榆,芳古园一区,"地铁：距5号线,14号线东段蒲黄榆站350米"
3080,16,124860-B,2室1卫,8/12层,石景山区,八角游乐园,久筑物业,地铁：距1号线玉泉路站2600米
2760,12,11207-B,3室1卫,25/28层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
3140,9,130344-A,3室1卫,7/8层,海淀区,西二旗,燕尚园,"地铁：距13号线,昌平线西二旗站750米"
3250,19,11937-B,3室1卫,4/6层,朝阳区,星火,姚家园西里3号院,"地铁：距3号线,20号线星火站350米"
4300,20,135510-A,2室1卫,2/6层,朝阳区,安立路,慧忠里,地铁：距15号线安立路站700米
2990,21,140653-A,2室1卫,1/6层,丰台区,科怡路,保温段住宅小区,地铁：距9号线科怡路站1550米
,,,,,,,,
2890,20,12973-D,5室1卫,3/9层,顺义区,国展,翠竹新村,地铁：距15号线国展站1800米
2820,10,145752-B,2室1卫,6/12层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
,,,,,,,,
,,,,,,,,
2460,9,147639-B,3室1卫,14/24层,丰台区,科怡路,南极星,地铁：距9号线科怡路站650米
2630,11,147585-B,3室1卫,25/27层,石景山区,古城,长安家园,地铁：距1号线古城站300米
3550,18,147604-B,2室1卫,3/6层,丰台区,马家堡,翠林二里,地铁：距4号线大兴线马家堡站750米
2330,8,154675-B,3室1卫,3/6层,昌平区,回龙观东大街,霍营小区,地铁：距8号线回龙观东大街站850米
,,,,,,,,
2440,13,16397-C,3室1卫,3/16层,丰台区,新宫,公园懿府,"地铁：距4号线大兴线,19号线新宫站2400米"
2890,17,21324-A,2室1卫,2/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
2440,13,20032-A,3室1卫,2/24层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
2740,8,263-E,6室2卫,1/6层,朝阳区,惠新西街北口,惠新西街小区,地铁：距5号线惠新西街北口站350米
2470,9,2264-B,4室1卫,18/18层,昌平区,回龙观东大街,紫金新干线四期,地铁：距8号线回龙观东大街站1400米
1750,11,21215-A,5室1卫,2/13层,顺义区,南法信,焦各庄街2号院,地铁：距15号线南法信站950米
2410,13,35370-B,3室1卫,17/19层,昌平区,朱辛庄,TBD万科天地,"地铁：距昌平线,8号线朱辛庄站200米"
,,,,,,,,
2460,10,35116-B,3室1卫,13/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2520,17,3557-D,6室2卫,6/6层,朝阳区,星火,姚家园西里5号院,"地铁：距3号线,20号线星火站600米"
2020,8,37781-B,3室1卫,8/25层,大兴区,亦庄桥,南海雅苑北区,地铁：距亦庄线荣京东街站2850米
2700,17,42665-B,2室1卫,4/4层,昌平区,龙泽,二拨子新村东区,地铁：距13号线龙泽站1750米
2670,11,43520-C,3室1卫,13/26层,丰台区,方庄,芳城园一区,地铁：距14号线东段方庄站550米
,,,,,,,,
2160,14,48147-D,4室1卫,1/6层,大兴区,万源街,小康家园,地铁：距亦庄线万源街站2350米
2570,14,51256-C,3室1卫,1/16层,丰台区,新宫,德鑫嘉园二期,"地铁：距4号线大兴线,19号线新宫站700米"
,,,,,,,,
2690,11,61310-B,3室1卫,16/22层,朝阳区,青年路,丽景馨居,地铁：距6号线青年路站800米
1580,10,64212-A,3室1卫,4/6层,通州区,北运河西,玉桥东路30号院,地铁：距6号线北运河西站950米
3290,20,70760-A,2室1卫,4/6层,朝阳区,立水桥,立水桥甲2号地质大院,"地铁：距13号线,5号线立水桥站600米"
1650,16,73788-C,3室1卫,2/14层,房山区,篱笆房,加州水郡三期,地铁：距房山线篱笆房站2200米
3140,13,74804-B,4室1卫,9/21层,朝阳区,红庙,延静里中街,"地铁：距6号线,14号线东段金台路站800米"
1640,8,77732-D,4室1卫,8/11层,通州区,通运门,京贸家园,地铁：距6号线通运门站2650米
2540,16,79830-A,2室1卫,4/6层,石景山区,金安桥,模式口西里,"地铁：距1号线,6号线苹果园站2200米"
