,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,所在楼层,总楼层,地铁数,距离地铁距离
4830,930,8,31961-A,3室1卫,3/5层,房山区,阎村,绿城百合公寓南屏苑,距燕房线阎村站900米,3,5,1,900
4831,2600,8,531-B,4室1卫,3/6层,朝阳区,望京,南湖中园一区,"距14号线东段,15号线望京站800米",3,6,2,800
4832,3350,18,12083-B,4室1卫,3/6层,朝阳区,潘家园,潘家园南里,距10号线潘家园站950米,3,6,1,950
4833,3590,16,140749-A,2室1卫,2/5层,朝阳区,劲松,劲松一区,距10号线劲松站300米,2,5,1,300
4834,2090,13,143615-B,4室1卫,15/16层,昌平区,南邵,路劲世界城二期,距昌平线南邵站500米,15,16,1,500
4835,2380,13,143132-C,4室1卫,4/6层,大兴区,旧宫,宣颐家园,距亦庄线旧宫站850米,4,6,1,850
4836,1490,9,146745-B,3室1卫,5/6层,房山区,良乡大学城西,鸿顺园西区,距房山线良乡大学城西站350米,5,6,1,350
4837,2390,10,150778-A,2室1卫,13/18层,大兴区,荣昌东街,南海家园六里,距亦庄线荣昌东街站3400米,13,18,1,3400
4838,3570,15,28456-D,4室1卫,21/22层,西城区,车公庄,西直门南大街,"距6号线,2号线车公庄站50米",21,22,2,50
4839,2060,15,30835-C,3室1卫,2/21层,房山区,长阳,康泽佳苑,距房山线长阳站500米,2,21,1,500
4840,1860,10,33020-D,4室1卫,6/6层,朝阳区,小红门,燕归宁馨园,距亦庄线小红门站1200米,6,6,1,1200
4841,4780,24,49287-B,5室1卫,10/17层,朝阳区,青年路,珠江罗马嘉园西区,距6号线青年路站500米,10,17,1,500
4842,1760,9,51493-C,3室1卫,2/6层,顺义区,石门,西辛南区,距15号线石门站450米,2,6,1,450
4843,2510,7,531-D,4室1卫,3/6层,朝阳区,望京,南湖中园一区,"距14号线东段,15号线望京站800米",3,6,2,800
4844,2830,9,9991-B,4室1卫,6/25层,朝阳区,阜通,花家地西里,距14号线东段阜通站900米,6,25,1,900
4845,3380,8,117425-B,2室1卫,4/6层,朝阳区,大望路,光辉南里,"距1号线,14号线东段大望路站400米",4,6,2,400
4846,7700,49,142735-A,1室1卫,12/21层,朝阳区,十里堡,万科金阳国际公寓,距6号线十里堡站1550米,12,21,1,1550
4847,5580,43,145986-A,1室1卫,3/19层,朝阳区,十里堡,炫特嘉园,距6号线十里堡站800米,3,19,1,800
4848,2940,11,149799-B,2室1卫,4/6层,朝阳区,马泉营,马南里,距15号线马泉营站1350米,4,6,1,1350
4849,1830,8,153615-C,3室1卫,3/6层,大兴区,清源路,兴华园,距4号线大兴线清源路站600米,3,6,2,600
4850,4200,20,15768-B,4室1卫,4/16层,海淀区,上地,上地佳园,距13号线上地站150米,4,16,1,150
4851,4020,29,17527-C,5室1卫,8/22层,丰台区,角门东,金胜嘉谊家园,距10号线角门东站700米,8,22,1,700
4852,3010,18,1897-B,4室1卫,2/6层,朝阳区,南楼梓庄,紫南家园（南区）,距7号线南楼梓庄站250米,2,6,1,250
4853,1290,6,24789-C,4室1卫,6/20层,门头沟区,小园,保利首开四季怡园,距S1线小园站950米,6,20,1,950
4854,4290,17,28040-B,4室1卫,2/7层,海淀区,车道沟,远大园四区,距10号线车道沟站800米,2,7,1,800
4855,3490,12,27322-A,2室1卫,2/6层,朝阳区,和平西桥,樱花东街,距13号线光熙门站600米,2,6,1,600
4856,2320,9,31684-B,3室1卫,3/7层,朝阳区,褡裢坡,三间房西里,距6号线褡裢坡站800米,3,7,1,800
4857,3340,19,48154-C,5室1卫,4/12层,朝阳区,传媒大学,珠江绿洲家园,距八通线传媒大学站550米,4,12,1,550
4858,1780,9,52770-C,3室1卫,5/6层,顺义区,顺义,东兴一区,距15号线顺义站400米,5,6,1,400
4859,2500,9,62298-B,3室1卫,8/28层,朝阳区,北岗子,将府锦苑,距14号线东段将台站3550米,8,28,1,3550
4860,2960,10,6441-C,5室1卫,3/18层,朝阳区,双井,合生国际家园,"距7号线,10号线双井站700米",3,18,2,700
4861,2120,10,77542-C,4室1卫,7/21层,朝阳区,北岗子,坝鑫家园,"距12号线,平谷线北岗子站850米",7,21,2,850
4862,3120,9,78287-B,3室1卫,18/25层,朝阳区,惠新西街北口,安慧里一区,距5号线惠新西街北口站600米,18,25,1,600
4863,2440,10,8994-B,3室1卫,24/29层,朝阳区,传媒大学,北花园小区,距八通线传媒大学站600米,24,29,1,600
4864,1670,9,120945-B,3室1卫,2/28层,通州区,同济南路,宏仁家园,距亦庄线同济南路站3100米,2,28,1,3100
4865,4260,18,11490-B,3室1卫,16/25层,朝阳区,立水桥南,北苑家园望春园,距5号线立水桥南站600米,16,25,1,600
4866,2530,9,144344-C,4室1卫,11/34层,昌平区,天通苑,天通苑西二区,距5号线天通苑站500米,11,34,1,500
4867,2300,8,147528-A,2室1卫,2/6层,通州区,通州北苑,杨庄小区,距八通线通州北苑站400米,2,6,1,400
4868,2180,10,151096-B,3室1卫,6/15层,朝阳区,小红门,鸿博家园一期A区,距亦庄线小红门站900米,6,15,1,900
4869,2870,7,151179-C,3室1卫,1/6层,海淀区,六道口,建清园,距15号线六道口站1600米,1,6,1,1600
4870,1840,10,153081-A,3室1卫,6/16层,大兴区,枣园,首开康乃馨城,距4号线大兴线枣园站1850米,6,16,2,1850
4871,2300,12,47269-C,3室1卫,10/11层,通州区,万盛东,小稿村,距7号线万盛东站1200米,10,11,1,1200
4872,1640,10,125895-D,4室1卫,4/6层,大兴区,德茂,上林苑,距8号线南段德茂站1100米,4,6,1,1100
4873,1980,7,11220-D,4室1卫,11/11层,顺义区,花梨坎,吉祥花园,距15号线花梨坎站450米,11,11,1,450
4874,2820,29,11735-B,8室3卫,1/3层,朝阳区,双桥,水郡长安,距八通线双桥站800米,1,3,1,800
4875,1910,11,140488-C,3室1卫,4/10层,朝阳区,肖村,成和园,距亦庄线肖村站2150米,4,10,1,2150
4876,3100,14,153115-A,2室1卫,9/20层,朝阳区,传媒大学,绿岛苑西区,距八通线传媒大学站1100米,9,20,1,1100
4877,2350,9,15520-A,4室1卫,5/8层,朝阳区,肖村,中海城圣朝菲,距亦庄线肖村站600米,5,8,1,600
4878,1720,13,31780-C,3室1卫,9/14层,通州区,通州北关,西潞苑小区,距6号线通州北关站1950米,9,14,1,1950
4879,2840,9,41039-B,3室1卫,2/6层,朝阳区,劲松,劲松一区,距10号线劲松站300米,2,6,1,300
4880,2300,9,10086-A,3室1卫,23/28层,朝阳区,青年路,金隅泰和园,距6号线青年路站1250米,23,28,1,1250
4881,3470,14,11489-A,3室1卫,5/6层,朝阳区,望京,望京西园二区,"距14号线东段,15号线望京站650米",5,6,2,650
4882,2230,11,12306-A,3室1卫,2/6层,大兴区,旧宫,美然绿色家园,距亦庄线旧宫站800米,2,6,1,800
4883,2480,6,138786-A,4室1卫,11/11层,通州区,经海路,经开壹中心,距亦庄线经海路站800米,11,11,1,800
4884,1750,9,150158-C,3室1卫,4/6层,顺义区,南法信,华英园（顺义）,距15号线南法信站800米,4,6,1,800
4885,1860,8,141469-A,4室1卫,11/27层,通州区,次渠南,次渠家园东里8区,距亦庄线次渠南站700米,11,27,1,700
4886,2440,11,152204-A,2室1卫,10/21层,大兴区,西红门,鸿坤理想城七期,距4号线大兴线西红门站1250米,10,21,2,1250
4887,2880,10,152683-A,3室1卫,2/6层,朝阳区,十里堡,八里庄北里1号院,距6号线十里堡站100米,2,6,1,100
4888,2030,9,37846-A,3室1卫,5/6层,石景山区,苹果园,金顶街四区,"距1号线,6号线苹果园站200米",5,6,2,200
4889,4320,15,65434-A,3室1卫,11/22层,海淀区,知春路,希格玛公寓,"距13号线,10号线知春路站350米",11,22,2,350
4890,2470,11,10086-B,3室1卫,23/28层,朝阳区,青年路,金隅泰和园,距6号线青年路站1250米,23,28,1,1250
4891,2160,16,145744-A,3室1卫,2/6层,大兴区,黄村火车站,观音寺南里,距4号线大兴线黄村火车站站1500米,2,6,2,1500
